full_name,email_address,age,gender,phone_number,location,country,date_joined,lead_source,utm_campaign,utm_medium,notes,is_subscribed
  Martha Dawson  ,,,F,, South Neil ,USA,2024-04-22,google_form,camp_210,,,True
  Tristan Varghese  ,tristan_varghese@yahoo.com,55,M,,Mehsana,India,2023-04-24,partner_import,,social,,True
  Sarah Cowan  ,,18,F,375.783.0945,Wesleytown,USA,2023-08-03,google_form,camp_551,organic,do not contact,True
  Abigail Wilson  ,not-valid-email,35,M,+44(0)191 496 0662, Cunninghamport ,UK,2023-10-23,email_capture,camp_106,,,True
  Catherine Johnson  ,catherine_johnson@gmail.com,58,M,976-404-4090x797, Bradyside ,USA,2024-10-29,facebook_lead,,organic,,True
  Louis Edwards  ,louis.e@email.com,,F,+44(0)114 496 0426, Lake Janet ,UK,2023-08-26,webinar_signup,camp_934,cpc,,True
  Lindsey Johnson  ,lindseyjohnson@yahoo.com,53,M,9922221610, Connorside ,USA,2024-07-19,webinar_signup,camp_945,,VIP,True
  Adweta Nair  ,adwetanair@hotmail.com,,F,+917353642357, Bangalore ,India,2022-01-23,partner_import,,organic,VIP,False
  Chaitaly Chahal  ,chaitaly.chahal@email.com,38,F,,Belgaum,India,2022-05-30,facebook_lead,,organic,,False
  Joshua Phelps  ,joshua.p@email.com,29,M,+1-390-555-2958x0660,Lake Joseph,USA,2024-08-30,google_form,,social,follow up,False
  Madeline Richardson  ,madeline_richardson@email.com,,F,001-907-383-6134x07451, East Lisa ,Singapore,2024-04-10,partner_import,camp_808,cpc,follow up,True
  Gerald Williams  ,gerald.w@hotmail.com,46,M,, Davisland ,USA,2023-09-02,webinar_signup,,email,do not contact,False
  Falak Pal  ,falak.p@gmail.com,20,M,0461007923, Bilaspur ,India,2023-11-18,facebook_lead,camp_571,organic,,True
  Elliott Evans  ,elliott35@yahoo.com,29,F,,Mathewville,UK,2024-03-28,email_capture,camp_686,social,,False
  Ian Miller  ,ian.miller@email.com,40,M,290-820-3571x34324, Gregoryberg ,USA,2022-09-22,facebook_lead,camp_435,organic,,False
,pooja_rege@hotmail.com,,M,+910128382710,Akola,India,2024-07-31,google_form,camp_584,social,,True
  Annette Gutierrez  ,annette.g@yahoo.com,19,M,943.724.4741, Michaelhaven ,USA,2024-08-29,webinar_signup,,email,,False
  Shannon Welch  ,shannon.w@yahoo.com,18,M,(709)662-8936, West Holly ,USA,2024-08-25,webinar_signup,,organic,do not contact,True
  Hanne Haering  ,hanne_haering@hotmail.com,25,M,, Recklinghausen ,Germany,2023-02-05,email_capture,,organic,follow up,True
  Sai Datta  ,,,F,6151204850, Haldia ,India,2023-04-22,partner_import,camp_227,organic,,False
  Brianna Bell  ,brianna_bell@hotmail.com,28,M,001-696-429-2330x958, Tiffanyport ,Singapore,2024-04-09,email_capture,camp_966,social,,True
  Wayne Hopkins  ,wayne_hopkins@outlook.com,36,F,01514960788, Webbland ,UK,2022-11-20,webinar_signup,,organic,,True
  Vincent Steinberg  ,vincent.s@yahoo.com,28,M,+49(0)0640 39106, Viechtach ,Germany,2024-03-26,partner_import,camp_716,organic,,False
,radhika_nair@hotmail.com,20,F,+914460422763, Yamunanagar ,India,2023-01-08,facebook_lead,camp_998,social,VIP,False
  William Gallegos  ,william.g@outlook.com,34,M,, Willisstad ,USA,2023-08-18,webinar_signup,camp_643,cpc,,True
  Aryan Chhabra  ,,,F,1530573472, Noida ,India,2022-12-08,facebook_lead,,email,,False
  Keith Adams  ,keith.adams@yahoo.com,47,F,412.660.4223x25367,Brooksland,Singapore,2024-01-22,email_capture,,organic,VIP,False
  Anne Barrett  ,anne_barrett@outlook.com,38,F,7513502675, West Kevin ,USA,2023-08-14,facebook_lead,camp_114,,follow up,False
  Owen Naylor  ,owen80@hotmail.com,35,M,+442074960956,West Amyfurt,UK,2024-10-12,email_capture,camp_917,social,do not contact,False
  Carl-Heinz Riehl  ,carl-heinz.r@gmail.com,45,F,+49(0)1704622656, Koblenz ,Germany,2022-06-04,google_form,camp_778,organic,,True
  Inaya Sama  ,inaya60@outlook.com,,M,+917682251272,Bidhannagar,India,2022-12-18,partner_import,camp_393,cpc,,True
,philippe_butte@outlook.com,28,M,(08251) 28682, Ahaus ,Germany,2024-02-26,facebook_lead,camp_886,email,do not contact,True
  Phillip Anderson  ,phillip_anderson@gmail.com,46,F,0204786863, St. Michael ,Australia,2024-03-08,google_form,camp_674,email,follow up,False
  Steven Lopez  ,stevenlopez@hotmail.com,18,M,5796799667, Carolynfort ,USA,2022-05-11,webinar_signup,camp_906,email,,True
  Kathleen Barkholz  ,kathleen.barkholz@outlook.com,,,+49(0)7868 63375, Göppingen ,Germany,2023-12-18,partner_import,camp_352,email,,True
  Aarush Upadhyay  ,aarush.u@gmail.com,38,F,06656224197, Bongaigaon ,India,2022-04-18,email_capture,,organic,,True
  Courtney Hernandez  ,courtneyhernandez@hotmail.com,32,M,+1 (697) 311-2196, Edwardsberg ,Canada,2022-08-20,email_capture,camp_366,,,False
  Graham Wood  ,graham_wood@outlook.com,,M,+44(0)1914960398, Lake Jessica ,UK,2024-03-20,partner_import,camp_317,email,,False
  Erika Evans  ,erika.evans@gmail.com,35,M,281.466.4969, West Olivia ,USA,2023-08-09,webinar_signup,camp_777,organic,,True
  Tammy Bender  ,tammy91@yahoo.com,53,M,792.925.0142,Martintown,USA,2024-05-16,partner_import,camp_573,social,do not contact,True
  Hans-Helmut van der Dussen  ,hans-helmut_vanderdussen@hotmail.com,44,M,+49(0)0690 331190, Sankt Goarshausen ,Germany,2023-10-25,partner_import,camp_734,organic,follow up,False
  Riya Uppal  ,,43,M,09477129035, Vadodara ,India,2023-11-28,webinar_signup,,social,,True
  Donna Gonzalez  ,donna.gonzalez@email.com,46,F,, Adamburgh ,USA,2024-08-18,email_capture,,email,,True
  Nitara Chopra  ,,55,M,4897422354, Aizawl ,India,2023-04-16,facebook_lead,camp_388,organic,VIP,False
  Chatresh Mohanty  ,,52,M,6682121564,Ujjain,India,2024-02-24,partner_import,camp_785,organic,,True
  Melvin Ruiz  ,melvin.r@gmail.com,26,F,+1-663-876-7316x25265, Fergusonstad ,USA,2022-06-17,email_capture,camp_876,social,,True
  Ishanvi Kunda  ,ishanvi14@outlook.com,33,F,2064411197, Bongaigaon ,India,2022-02-17,partner_import,,email,follow up,True
  Faris Wali  ,faris_wali@yahoo.com,50,M,, Amritsar ,India,2024-02-04,facebook_lead,,social,,False
  Zansi Malhotra  ,zansi_malhotra@outlook.com,33,,6806640511, South Dumdum ,India,2024-05-04,partner_import,,email,,False
  Joshua Pineda  ,joshua.p@hotmail.com,32,F,06903311,St. Carlaton,Australia,2022-11-13,facebook_lead,,email,follow up,True
  Tracy Yang  ,tracy.yang@hotmail.com,23,F,001-203-892-3555, Lake Jerryfort ,USA,2022-06-18,google_form,camp_131,cpc,,False
  Jacob Clark  ,,23,F,(415)462-6244x67046, Flemingville ,USA,2024-05-26,email_capture,,social,,False
  Steven Miller  ,steven.miller@hotmail.com,18,M,+1-816-202-5298x67076, Ronaldville ,USA,2022-10-19,facebook_lead,camp_869,organic,,True
  Gavin Dyal  ,gavin44@gmail.com,34,M,04341230160, Phagwara ,India,2022-06-18,partner_import,camp_150,social,,False
  Cassandra Lang  ,cassandra.lang@hotmail.com,28,M,, West Stacyshire ,USA,2023-02-18,email_capture,camp_151,cpc,,False
  Panini Agrawal  ,panini_agrawal@outlook.com,36,F,+917218600320, Vasai-Virar ,India,2022-12-10,webinar_signup,camp_869,cpc,VIP,True
  Leslie Khan  ,,44,F,(0121)4960472, East Tracyview ,UK,2024-10-17,partner_import,,,VIP,True
  Emily Hodgson  ,emilyhodgson@yahoo.com,31,M,, Lake Kayleigh ,UK,2022-03-26,facebook_lead,camp_247,social,,True
  Jonathan Robertson  ,,43,F,+1-776-607-4017x750, Rogersport ,USA,2022-05-06,google_form,,cpc,,True
  Sanya Bawa  ,sanyabawa@email.com,32,M,,Navi Mumbai,India,2022-02-02,email_capture,,social,follow up,True
  Katie Johnson  ,katie5@gmail.com,44,F,724-256-0754x091, Wrightland ,USA,2023-05-08,webinar_signup,,email,,True
  Unnati Sachdeva  ,unnati.s@yahoo.com,46,M,+911625908419, Kirari Suleman Nagar ,India,2024-07-23,email_capture,camp_954,organic,,True
  Falguni Patla  ,falguni.p@gmail.com,20,F,+911137535821,Chittoor,India,2023-05-28,facebook_lead,camp_738,,follow up,False
  Amanda Martinez  ,amandamartinez@outlook.com,52,M,(976)245-7938, West Nathanberg ,USA,2023-04-27,google_form,camp_365,cpc,follow up,True
  Ojas Wadhwa  ,ojas.w@gmail.com,52,M,7807279037, Vijayanagaram ,India,2022-05-24,webinar_signup,camp_898,cpc,,True
,,40,F,268-345-7759,Reidstad,Singapore,2024-05-15,webinar_signup,,organic,do not contact,True
  Hitesh Sandhu  ,hitesh_sandhu@hotmail.com,31,M,+918819722399, Chandrapur ,India,2022-11-18,facebook_lead,,cpc,follow up,False
  Chelsea Cummings  ,chelsea59@yahoo.com,28,F,468-615-4660, Port Ritaville ,USA,2024-07-17,facebook_lead,,email,do not contact,False
  Vasana Swaminathan  ,vasana.swaminathan@yahoo.com,21,M,+918375307681, South Dumdum ,India,2022-11-19,partner_import,camp_906,email,follow up,False
  Olivia Wright  ,oliviawright@outlook.com,36,F,01174960712, Thomasfurt ,UK,2023-06-26,email_capture,camp_474,,,True
  Bhavini Aurora  ,,,M,8557800244, Bhavnagar ,India,2022-06-19,webinar_signup,camp_172,cpc,VIP,True
  Tanay Rana  ,tanay.r@email.com,55,F,+912169069685, Rampur ,India,2023-09-04,partner_import,camp_684,cpc,,True
  Mitali Sodhi  ,mitalisodhi@yahoo.com,27,F,+916751691395, Hubli–Dharwad ,India,2024-02-09,partner_import,camp_975,,,False
  Laura Duncan  ,laura.d@email.com,41,Other,698-283-0597x3642, Browningport ,USA,2022-04-03,facebook_lead,camp_759,email,VIP,True
  Brett Gray  ,brettgray@email.com,31,F,,Sharpberg,UK,2023-12-05,facebook_lead,camp_509,social,do not contact,True
  Melissa Flynn  ,melissa.flynn@email.com,34,M,, North Corymouth ,Singapore,2024-10-11,partner_import,camp_489,email,follow up,True
,ekanta_bhakta@gmail.com,43,F,1642610703, Bharatpur ,India,2022-09-19,webinar_signup,camp_140,email,VIP,True
  Chakradhar Virk  ,chakradharvirk@outlook.com,28,Other,02431983924, Ambala ,India,2024-10-26,google_form,,email,,True
  Clifford Potter  ,clifford.potter@hotmail.com,37,M,+44(0)29 2018 0375, South Stanley ,UK,2023-12-29,google_form,,social,,False
  Joseph Russell  ,joseph.r@gmail.com,35,M,5625447951,Lake Markland,USA,2024-01-18,google_form,,organic,,True
  Cheryl Chandler  ,cherylchandler@gmail.com,28,M,+1-779-769-5867x805,Lynnberg,USA,2024-05-11,facebook_lead,,email,VIP,True
  Steven Newton  ,steven.newton@email.com,50,F,982.764.6091, East Juliehaven ,USA,2023-03-25,partner_import,camp_564,email,,True
  Dominic Kannan  ,dominic_kannan@yahoo.com,57,M,+910416910530, Salem ,India,2024-04-07,webinar_signup,camp_375,email,,True
  John Williams  ,john_williams@outlook.com,43,F,+61.3.8302.8439,Barbaramouth,Australia,2024-09-22,webinar_signup,camp_220,email,,False
  Jyoti Bobal  ,jyoti_bobal@gmail.com,48,M,07586463395,Tirupati,India,2023-04-05,partner_import,,,VIP,False
  Gautam Chander  ,gautam.c@yahoo.com,35,F,, Bhilai ,India,2022-06-10,webinar_signup,camp_370,email,,True
  Mike Carter  ,mike_carter@gmail.com,,M,677-902-9929x59660, South Samantha ,USA,2024-03-10,webinar_signup,,cpc,VIP,True
  Allen Noble  ,allen.n@gmail.com,29,Other,(677)306-3242,Johnstad,Singapore,2023-12-10,partner_import,camp_591,email,do not contact,True
  Iain Newman  ,iain.n@email.com,45,M,+4428 9018 0793, Nicolaview ,UK,2024-10-01,email_capture,camp_944,organic,do not contact,True
  Ekaja Sodhi  ,ekaja.sodhi@outlook.com,37,M,+918551281775, Guntur ,India,2023-03-21,webinar_signup,camp_890,cpc,,True
  Elizabeth Banks  ,elizabeth_banks@email.com,,M,9643361103,New Jeremy,Singapore,2023-02-28,google_form,,cpc,,False
  David Lawson  ,davidlawson@hotmail.com,,F,416-833-1942,Bellborough,USA,2022-01-27,email_capture,,social,,False
  Joel Walter  ,joel43@hotmail.com,34,F,+61.483.644.089,Port Angela,Australia,2024-04-25,partner_import,camp_219,,follow up,True
  Vivaan Pradhan  ,vivaanpradhan@gmail.com,34,F,7815542609, Nanded ,India,2024-10-26,google_form,camp_333,organic,,True
  Utkarsh Rajagopal  ,utkarsh_rajagopal@email.com,37,M,+912446546772,Secunderabad,India,2023-09-15,google_form,camp_999,organic,,False
  Dhruv Sathe  ,dhruvsathe@outlook.com,53,M,, Katihar ,India,2023-02-16,email_capture,,email,follow up,False
  Gudrun Tlustek  ,gudrun.t@yahoo.com,,F,+49(0)3067383028,Genthin,Germany,2023-03-24,email_capture,camp_720,,,True
  Lisa Owen  ,lisa_owen@yahoo.com,26,Other,020 7946 0398, Lake Georgina ,UK,2023-11-07,google_form,camp_328,email,,False
  Victor Srivastava  ,victor_srivastava@gmail.com,22,M,0317543802, Sagar ,India,2024-10-23,google_form,,email,do not contact,True
  Robert Greene  ,robert38@hotmail.com,32,M,451-458-8863x67747, Robertsside ,USA,2022-05-28,webinar_signup,,organic,,True
  Elijah Mitra  ,elijah.mitra@gmail.com,37,M,5726029254, Dehri ,India,2023-11-03,webinar_signup,,organic,do not contact,True
  Neha Divan  ,neha_divan@email.com,18,F,,Amroha,India,2024-04-27,partner_import,camp_903,,,True
  Brandon Cooper  ,brandon.c@gmail.com,36,,+61-468-566-246, St. John ,Australia,2023-07-05,email_capture,camp_289,social,,True
  Krishna Jhaveri  ,krishna.j@outlook.com,35,F,+917135386762, Mahbubnagar ,India,2023-01-24,google_form,camp_904,email,follow up,True
  Jeremiah Mathews  ,jeremiahmathews@email.com,36,,08 0866 8826, New James ,Australia,2024-06-13,google_form,camp_737,email,do not contact,True
  Maria Hines  ,maria.h@gmail.com,18,M,+1-321-869-6663x0932,West Chelseaburgh,USA,2023-12-11,facebook_lead,camp_741,,,True
  Richard Watson  ,richard97@outlook.com,39,M,+44(0)151 4960374, Port Michellefort ,UK,2023-01-21,webinar_signup,camp_221,email,do not contact,True
  Margit Wagenknecht  ,,25,,(05995) 342836,Gunzenhausen,Germany,2023-11-02,partner_import,,cpc,,False
,ashleykennedy@yahoo.com,44,M,950-796-8832, East Thomas ,USA,2023-03-16,webinar_signup,camp_131,cpc,,True
  Jeremiah Kamdar  ,jeremiahkamdar@email.com,25,F,6879060488, Gudivada ,India,2024-06-26,partner_import,,email,,False
  Erin Smith  ,,26,,001-751-762-7136x111, Derrickberg ,Singapore,2024-09-16,facebook_lead,camp_279,organic,do not contact,True
  Vivaan Goda  ,vivaan25@outlook.com,36,M,+915534050892, Kollam ,India,2024-04-15,facebook_lead,,social,follow up,True
  Omya Chacko  ,omya1@hotmail.com,46,F,09764053567, Bhalswa Jahangir Pur ,India,2023-12-01,partner_import,camp_519,organic,,True
  Xiti Sheth  ,xiti67@outlook.com,,M,05542619038, Siliguri ,India,2024-05-28,google_form,camp_996,email,follow up,False
  Burghard Roht  ,burghardroht@email.com,32,M,(02687) 056856, Dresden ,Germany,2023-10-10,email_capture,,email,,True
  Jennifer Gonzalez  ,jennifer.g@gmail.com,26,F,(941)503-9773, South Vincent ,USA,2024-03-01,webinar_signup,camp_587,email,,False
  Pratyush Sood  ,pratyush_sood@gmail.com,18,F,+916273202227, Aligarh ,India,2023-03-06,facebook_lead,camp_593,cpc,follow up,True
  Daniel Munoz  ,danielmunoz@email.com,40,M,323-271-0068x76164,Castilloton,USA,2024-04-03,partner_import,camp_154,,follow up,True
  Falan Shetty  ,falan.s@hotmail.com,,F,07691716204, Tadepalligudem ,India,2024-02-14,google_form,,organic,do not contact,True
  Kelly Ross  ,kelly.r@hotmail.com,46,M,001-405-768-7611x2491,Douglasberg,USA,2022-12-25,google_form,camp_758,email,VIP,True
  Kamya Comar  ,kamya.comar@outlook.com,35,F,04869830521, Adoni ,India,2023-08-25,webinar_signup,,organic,,False
  Abhiram Johal  ,abhiramjohal@hotmail.com,40,M,2202698014, Sikar ,India,2022-10-13,webinar_signup,,email,follow up,True
  Amruta Tandon  ,amruta22@email.com,25,M,+910680177031,Jammu,India,2023-10-18,google_form,,,do not contact,True
  Robin Pope  ,robin61@hotmail.com,36,,741.651.7734, Riveramouth ,USA,2023-03-23,webinar_signup,camp_840,cpc,follow up,True
  Sanaya Baral  ,sanaya21@yahoo.com,,M,00049332672, Parbhani ,India,2023-02-23,webinar_signup,camp_396,email,,True
,krisha_kapur@yahoo.com,,F,+917294763808, Phusro ,India,2022-09-08,webinar_signup,camp_201,cpc,,True
  Holly Carroll  ,holly_carroll@email.com,42,Other,,Thomasmouth,USA,2022-04-26,facebook_lead,camp_554,,,True
  Emily Moore  ,emily71@hotmail.com,39,M,,Michaelhaven,USA,2022-10-04,partner_import,,email,,True
  Darlene Byrd  ,darlene.byrd@email.com,43,M,489-809-2753, Heathland ,Singapore,2024-01-03,webinar_signup,,cpc,,False
,john_newman@email.com,44,M,(989) 994-0438, Lake Peter ,Canada,2022-08-15,webinar_signup,camp_553,cpc,,True
  Bachittar Rao  ,bachittarrao@email.com,58,M,04025998519, Mahbubnagar ,India,2024-04-09,partner_import,camp_812,,,True
  Umang Datta  ,umang.d@yahoo.com,35,F,02728129163, Nashik ,India,2022-12-30,partner_import,,email,do not contact,False
  Chanchal Sanghvi  ,chanchal_sanghvi@outlook.com,54,M,+912667652728,Raurkela Industrial Township,India,2022-04-10,webinar_signup,camp_463,cpc,follow up,False
  Samesh Suresh  ,sameshsuresh@email.com,25,F,09950708864, Gurgaon ,India,2023-04-21,webinar_signup,camp_187,,,True
  Julie Ferrell  ,julie_ferrell@outlook.com,25,M,(479)925-2985x8567, South Penny ,USA,2022-01-19,email_capture,,email,,False
  Debbie Bowers  ,debbie.bowers@outlook.com,,M,, Davidshire ,Canada,2022-12-30,email_capture,camp_518,social,follow up,False
  Peggy Taylor  ,peggytaylor@outlook.com,,M,, Kimberlytown ,Singapore,2023-05-09,email_capture,camp_468,social,,True
  Alexis Arroyo  ,alexis.arroyo@outlook.com,18,F,234-533-2491x35779,West Elizabeth,USA,2023-11-26,partner_import,camp_511,social,,True
  Warhi Patla  ,warhi25@email.com,38,F,00208019290, Gaya ,India,2022-01-16,google_form,camp_749,email,,True
  Faras Prabhu  ,faras.prabhu@gmail.com,49,F,03904489093,Sangli-Miraj & Kupwad,India,2024-03-09,email_capture,camp_213,email,follow up,True
  Ijaya Hans  ,ijaya_hans@outlook.com,56,M,+913202351025, Hapur ,India,2023-01-04,google_form,,cpc,follow up,True
  Kunibert Kohl  ,kunibert_kohl@email.com,41,F,+49 (0) 8733 427086,Ravensburg,Germany,2023-01-15,google_form,camp_474,cpc,,False
  Daniel Comar  ,daniel.comar@hotmail.com,,M,3545036988, Dhule ,India,2025-12-31,partner_import,,email,,False
  Bradley Parkinson  ,bradley.p@email.com,40,F,0118 4960426,Fordfort,UK,2023-05-08,facebook_lead,,organic,do not contact,True
  Rishi Korpal  ,rishikorpal@hotmail.com,35,M,+912436296208, Sri Ganganagar ,India,2023-10-14,webinar_signup,camp_850,organic,VIP,True
  Deborah Nielsen  ,deborahnielsen@outlook.com,33,F,(02)83046990, South Lindashire ,Australia,2022-02-27,facebook_lead,camp_736,email,,False
  Raymond Garcia  ,raymond_garcia@gmail.com,56,F,681-448-8810x79833, East Hannah ,USA,2024-02-18,facebook_lead,camp_585,organic,,True
  Vihaan Das  ,vihaan.d@yahoo.com,23,F,+914412907596, Pudukkottai ,India,2022-05-03,facebook_lead,,social,,True
  Carole Matthews  ,,24,M,+44(0)161 496 0680,Ritaside,UK,2022-04-14,facebook_lead,camp_932,social,follow up,True
  Stephen Williams  ,stephenwilliams@hotmail.com,20,F,+1-548-541-3128x403, Marshallside ,USA,2023-08-16,partner_import,camp_597,social,VIP,True
  Krish Bhalla  ,benjAMiN.mCLEAN@emAiL.COm,33,F,+912376317749, Alwar ,India,2022-07-14,google_form,camp_124,social,,True
  Nathaniel Bhatti  ,nathaniel.b@yahoo.com,150,F,+916294193759, Dharmavaram ,India,2024-01-14,partner_import,,email,,True
  Kevin Golla  ,kevingolla@email.com,55,F,07131753626, Bhalswa Jahangir Pur ,India,2023-12-22,google_form,camp_204,,follow up,False
  Eiravati Dora  ,,18,F,,Berhampur,India,2022-05-04,email_capture,camp_729,email,,True
  Nicole Williams  ,nicole26@outlook.com,,F,+1-913-671-7173x1893, New Russellville ,USA,2022-08-05,email_capture,,email,,False
  Avi Agrawal  ,MiCHaEL.c@GmaIl.cOm,25,F,9284524032, Rajkot ,India,2022-05-19,facebook_lead,,organic,,False
  Irya Karpe  ,irya.karpe@gmail.com,27,F,05051432191, Patiala ,India,2024-05-21,google_form,,cpc,follow up,False
  Robert Payne  ,robert_payne@gmail.com,51,F,171 091 0430,Hunterhaven,Canada,2023-10-11,webinar_signup,camp_543,email,,True
  Chandran Varughese  ,chandranvarughese@hotmail.com,27,M,07972479254, Jamnagar ,India,2022-01-12,facebook_lead,camp_347,,,True
  Melanie Barrett  ,melanie.b@hotmail.com,0,M,538-998-3640x3761,New Pamelatown,Singapore,2022-10-12,webinar_signup,camp_332,,,True
  Girik Thaker  ,girik.thaker@gmail.com,45,F,3458192048, Kumbakonam ,India,2024-09-04,google_form,camp_919,cpc,,True
  Benjamin Sankar  ,benjaminsankar@yahoo.com,30,M,06933329986,Bareilly,India,2022-12-12,webinar_signup,camp_408,cpc,VIP,True
  Ishita Bhandari  ,ishita30@hotmail.com,28,F,+915784640858, Hajipur ,India,2023-07-31,webinar_signup,camp_149,,do not contact,True
  Jennifer Hansen  ,jenniferhansen@outlook.com,40,M,+61354033173,Port Rose,Australia,2023-06-29,webinar_signup,camp_343,social,do not contact,False
  Katie Henderson  ,,32,F,+1 (918) 892-4141, Port Eric ,Canada,2022-04-17,google_form,,cpc,follow up,True
  Rehaan Garg  ,rehaan.garg@email.com,,F,06726208467, Bhimavaram ,India,2022-03-02,email_capture,camp_410,cpc,follow up,True
  Jennifer Ramos  ,jennifer_ramos@email.com,30,M,+1-939-697-0469x4725, Josephside ,USA,2023-03-03,email_capture,camp_328,social,follow up,True
  Om Patil  ,om.patil@email.com,27,M,03551962822,Etawah,India,2023-08-22,partner_import,camp_141,organic,VIP,True
  Annett Eimer  ,annetteimer@hotmail.com,37,F,0343517518, Badoberan ,Germany,2024-10-23,email_capture,,,follow up,True
  John Hill  ,john28@outlook.com,38,M,, East Cameron ,USA,2023-05-21,webinar_signup,camp_925,cpc,,True
  Marilyn Dawson  ,marilyn_dawson@outlook.com,38,M,+44(0)114 496 0135, Lake Molly ,UK,2024-05-07,email_capture,,organic,VIP,True
  Samuel Moore  ,samuel_moore@hotmail.com,35,M,+44(0)28 9018 0656, North Nigelview ,UK,2023-10-08,google_form,camp_640,cpc,,False
  Abhiram Cherian  ,,38,F,2562472863,Bokaro,India,2023-03-27,email_capture,camp_997,social,,False
  Agastya Chana  ,agastya6@email.com,39,F,+912341499290, Medininagar ,India,2023-12-10,webinar_signup,camp_893,email,do not contact,True
,ryan33@gmail.com,37,F,958.323.1334x845, Saraborough ,USA,2024-09-28,partner_import,camp_710,cpc,,True
  Omisha Ramesh  ,omisha.r@email.com,27,F,+917026604509,Chinsurah,India,2022-03-23,partner_import,,email,follow up,True
  Rishi Goyal  ,rishi_goyal@outlook.com,,F,+917400391019,Sambalpur,India,2024-07-12,partner_import,camp_103,,follow up,True
  Kamala Iyer  ,ZEHAAN_ANNE@EMAIL.COM,36,M,9222471193,Kolkata,India,2024-04-02,partner_import,,email,,True
  Juergen Kostolzin  ,juergen_kostolzin@gmail.com,32,M,(09901) 39837,Holzminden,Germany,2023-10-05,webinar_signup,,email,VIP,True
  Ashley Moore  ,ashley85@hotmail.com,39,M,(936)822-9258, Jeremyview ,USA,2024-07-23,webinar_signup,camp_148,email,VIP,True
  Thomas Chase  ,thomaschase@hotmail.com,32,M,252-845-5574x6966,South Michaelberg,USA,2023-04-20,email_capture,,email,,False
  Ross Dennis  ,ross.dennis@email.com,35,F,0191 498 0899, South Karen ,UK,2022-10-25,partner_import,camp_139,social,do not contact,True
  Chakradhar Saini  ,chakradharsaini@hotmail.com,31,F,+918277056461, Pimpri-Chinchwad ,India,2024-10-01,google_form,camp_241,email,,True
  Urvi Sarin  ,,45,F,+916438500953, Malegaon ,India,2024-04-08,webinar_signup,camp_211,social,follow up,False
  Valerie Peck  ,valerie_peck@outlook.com,,F,(269)365-8271, West Jasonton ,Singapore,2023-04-10,partner_import,camp_765,organic,VIP,False
  Mark Willis  ,mark.willis@email.com,22,M,146.303.1617,Elizabethburgh,Canada,2024-10-06,email_capture,camp_643,cpc,do not contact,True
  Ryan Madan  ,ryan.madan@outlook.com,33,F,01762313361,Tadipatri,India,2022-05-02,email_capture,,social,,True
  Theresa Wang  ,,24,F,8337445056, Port Jason ,USA,2023-10-02,partner_import,camp_649,social,,True
  Aashi Mandal  ,aashi94@yahoo.com,18,F,1642316544, Thiruvananthapuram ,India,2024-10-27,webinar_signup,camp_502,organic,do not contact,True
  Tripti Gokhale  ,tripti_gokhale@hotmail.com,36,M,07685760634, Bokaro ,India,2022-11-02,facebook_lead,camp_596,email,,True
  Chakradev Mall  ,chakradev.m@email.com,22,Other,01755188701, Udupi ,India,2023-07-19,google_form,camp_892,,do not contact,True
  Andrea Rowe  ,andrea_rowe@yahoo.com,53,M,+61 8 8544 5877, St. Kathleenmouth ,Australia,2022-05-18,partner_import,camp_156,organic,,False
  Wesley Gates  ,wesley_gates@hotmail.com,24,M,, West Valerie ,USA,2024-10-11,partner_import,camp_808,,,True
  Brenda Brown  ,brenda.brown@yahoo.com,61,M,4543857417,Tiffanychester,USA,2023-06-11,email_capture,camp_426,email,,True
  Deborah Hall  ,deborah_hall@gmail.com,-1,F,(029)2018982, Peterfort ,UK,2024-10-09,partner_import,camp_975,email,do not contact,False
  Stuart Harris  ,,32,F,, Glennmouth ,UK,2024-05-30,webinar_signup,,cpc,,True
  Ranbir Gera  ,ranbir73@yahoo.com,,M,02024837444, Mehsana ,India,2022-02-18,partner_import,,organic,,True
  Om Kanda  ,om.kanda@yahoo.com,51,F,05653869479, Dehradun ,India,2022-10-22,email_capture,camp_634,,follow up,True
  Russell Reynolds  ,russell_reynolds@hotmail.com,35,M,(0131)4960717, Newtonport ,UK,2023-07-13,google_form,camp_454,organic,,False
  Madison Sawyer  ,madison.sawyer@yahoo.com,51,M,,East Kelseyland,USA,2023-02-23,partner_import,,cpc,,False
  Jagrati Memon  ,jagrati.memon@yahoo.com,42,M,5362689047, Davanagere ,India,2023-05-02,webinar_signup,,social,,False
  Monica Lyons  ,monica_lyons@gmail.com,45,M,001-655-673-2573x7553,East Davidchester,USA,2024-02-26,google_form,camp_214,social,,True
  Ronald Shaffer  ,ronald.shaffer@yahoo.com,35,F,7809850960, Baileyland ,USA,2024-04-23,facebook_lead,camp_824,organic,,True
  Zaitra Saraf  ,zaitra60@gmail.com,40,F,4100953855, Agartala ,India,2022-01-25,facebook_lead,camp_224,,VIP,True
  Jessica Cunningham  ,jessica_cunningham@gmail.com,21,,+1-518-328-1979,Meyersmouth,USA,2024-06-27,partner_import,camp_812,cpc,do not contact,True
  Owen Chand  ,owen.c@email.com,,F,04359900937, Firozabad ,India,2022-09-02,google_form,,social,,True
  David Zimmerman  ,david.z@yahoo.com,29,M,527-588-4252, Port Rachelmouth ,Canada,2022-03-15,webinar_signup,,cpc,,True
